Course Name:,HUMAN COMPUTER
Professor:,Mr. Liew Tze Hui
Credits:,3
Coursework Weight:,70%
Final Weight:,30%

ID,Title,Type,Category,Score,Max Score,Weight (Points),Deadline,Completed
2026-04-05 19:35:07.091,Assignment,assignment,coursework,N/A,20,20,2026-05-04 12:00,No
2026-04-05 19:35:41.186,Quiz,quiz,coursework,N/A,10,10,2026-06-01 12:00,No
2026-04-05 19:37:06.299,Test,midterm,coursework,N/A,40,40,2026-06-15 12:00,No
2026-04-05 19:37:46.060,Project,project,finalProject,N/A,30,30,2026-06-22 12:00,No
